"Date","Price","Open","High","Low","Change %"
"May 11","1,533.35","1,569.29","1,576.62","1,462.88","-1.93%"
"Apr 11","1,563.60","1,434.09","1,569.68","1,413.03","9.19%"
"Mar 11","1,432.00","1,412.59","1,447.78","1,381.30","1.44%"
"Feb 11","1,411.65","1,332.15","1,418.31","1,325.17","5.96%"
"Jan 11","1,332.19","1,421.18","1,424.33","1,308.35","-6.28%"
"Dec 10","1,421.45","1,387.30","1,431.35","1,361.85","2.64%"
"Nov 10","1,384.85","1,360.59","1,424.60","1,325.17","1.86%"
"Oct 10","1,359.55","1,309.55","1,387.30","1,306.20","3.82%"
"Sep 10","1,309.50","1,248.50","1,316.03","1,236.35","4.96%"
"Aug 10","1,247.65","1,182.45","1,250.12","1,174.90","5.65%"
"Jul 10","1,180.90","1,242.15","1,244.05","1,157.35","-4.95%"
"Jun 10","1,242.35","1,216.10","1,265.30","1,197.09","2.15%"
"May 10","1,216.21","1,179.00","1,249.45","1,157.70","3.13%"
"Apr 10","1,179.25","1,113.40","1,181.55","1,111.75","5.88%"
"Mar 10","1,113.80","1,117.15","1,145.07","1,085.28","-0.24%"
"Feb 10","1,116.50","1,080.10","1,131.05","1,044.25","3.23%"
"Jan 10","1,081.55","1,096.75","1,162.00","1,074.25","-1.34%"
"Dec 09","1,096.20","1,179.75","1,226.60","1,074.60","-7.01%"
"Nov 09","1,178.85","1,044.30","1,195.30","1,040.65","12.82%"
"Oct 09","1,044.90","1,006.70","1,070.90","986.70","3.69%"
"Sep 09","1,007.70","950.55","1,024.85","947.00","5.95%"
"Aug 09","951.15","953.80","972.75","931.20","-0.38%"
"Jul 09","954.75","926.30","959.70","906.00","3.01%"
"Jun 09","926.85","979.60","990.80","913.90","-5.42%"
"May 09","980.00","887.30","981.00","880.55","10.55%"
"Apr 09","886.50","918.55","933.35","865.00","-3.45%"
"Mar 09","918.15","940.00","967.70","883.90","-2.86%"
"Feb 09","945.15","927.95","1,006.40","888.00","1.88%"
"Jan 09","927.75","880.30","931.40","802.65","5.40%"
"Dec 08","880.20","817.00","891.55","742.40","7.67%"
"Nov 08","817.50","724.85","832.10","702.25","12.75%"
"Oct 08","725.05","872.15","933.00","682.80","-16.85%"
"Sep 08","871.95","836.50","922.00","738.00","4.95%"
"Aug 08","830.80","914.55","917.90","774.90","-9.09%"
"Jul 08","913.85","926.50","988.75","894.50","-1.22%"
"Jun 08","925.10","887.75","936.00","857.80","4.31%"
"May 08","886.90","877.15","936.30","846.00","1.83%"
"Apr 08","870.95","916.25","953.60","863.30","-4.89%"
"Mar 08","915.70","973.40","1,031.20","905.05","-5.84%"
"Feb 08","972.48","924.38","976.27","885.67","5.06%"
"Jan 08","925.62","833.92","933.73","833.83","11.04%"
"Dec 07","833.60","783.10","843.60","777.40","6.48%"
"Nov 07","782.90","795.90","845.80","773.00","-1.67%"
"Oct 07","796.20","744.20","796.90","721.10","7.00%"
"Sep 07","744.10","673.40","745.90","671.40","10.56%"
"Aug 07","673.00","663.40","677.00","641.50","1.43%"
"Jul 07","663.50","651.25","687.60","645.50","2.13%"
"Jun 07","649.65","662.20","674.70","639.65","-1.71%"
"May 07","660.95","678.95","691.55","652.05","-2.55%"
"Apr 07","678.25","665.45","693.85","656.45","2.21%"
"Mar 07","663.60","669.70","677.70","632.80","-0.95%"
"Feb 07","669.95","652.85","689.35","643.15","2.56%"
"Jan 07","653.20","637.30","655.20","602.20","2.58%"
"Dec 06","636.80","648.00","650.00","611.80","-1.77%"
"Nov 06","648.30","606.40","649.00","605.70","6.87%"
"Oct 06","606.60","598.50","611.00","559.90","1.39%"
"Sep 06","598.30","625.30","640.75","571.70","-4.56%"
"Aug 06","626.90","636.00","655.95","607.30","-1.21%"
"Jul 06","634.58","617.88","676.38","601.98","3.50%"
"Jun 06","613.10","643.40","645.50","543.50","-4.75%"
"May 06","643.70","654.50","730.40","636.60","-1.65%"
"Apr 06","654.50","583.00","655.80","582.30","12.14%"
"Mar 06","583.65","561.15","589.15","534.05","3.90%"
"Feb 06","561.75","568.95","575.05","534.95","-1.27%"
"Jan 06","568.95","517.20","572.65","549.45","9.92%"
"Dec 05","517.60","493.90","517.60","517.60","4.81%"
"Nov 05","493.85","465.35","493.85","493.85","6.16%"
"Oct 05","465.20","467.65","465.20","465.20","-0.84%"
"Sep 05","469.15","435.10","469.15","469.15","7.79%"
"Aug 05","435.25","429.75","435.25","435.25","1.17%"
"Jul 05","430.20","434.90","430.20","430.20","-1.16%"
"Jun 05","435.25","417.00","435.25","435.25","4.29%"
"May 05","417.35","434.35","417.35","417.35","-4.03%"
"Apr 05","434.88","428.38","434.88","434.88","1.50%"
"Mar 05","428.45","435.65","428.45","428.45","-1.65%"
"Feb 05","435.62","422.38","435.62","435.62","3.08%"
"Jan 05","422.62","437.88","422.62","422.62","-3.61%"
"Dec 04","438.45","451.10","438.45","438.45","-2.76%"
"Nov 04","450.88","429.62","450.88","450.88","5.22%"
"Oct 04","428.52","418.12","428.52","428.52","2.46%"
"Sep 04","418.25","410.00","418.25","418.25","2.06%"
"Aug 04","409.82","394.38","409.82","409.82","4.75%"
"Jul 04","391.25","394.50","391.25","391.25","-0.79%"
"Jun 04","394.38","395.27","394.38","394.38","-0.28%"
"May 04","395.50","389.15","395.50","395.50","2.04%"
"Apr 04","387.60","426.90","387.60","387.60","-9.15%"
"Mar 04","426.62","397.12","426.62","426.62","7.61%"
"Feb 04","396.45","402.35","396.45","396.45","-1.52%"
"Jan 04","402.57","415.38","402.57","402.57","-3.01%"
"Dec 03","415.05","398.50","415.05","415.05","4.32%"
"Nov 03","397.88","384.62","397.88","397.88","3.51%"
"Oct 03","384.40","385.05","384.40","384.40","-0.22%"
"Sep 03","385.25","374.75","385.25","385.25","2.58%"
"Aug 03","375.57","355.48","375.57","375.57","5.79%"
"Jul 03","355.00","346.75","355.00","355.00","2.48%"
"Jun 03","346.40","362.35","346.40","346.40","-5.09%"
"May 03","364.98","339.77","364.98","364.98","7.47%"
"Apr 03","339.62","337.62","339.62","339.62","0.63%"
"Mar 03","337.48","348.62","337.48","337.48","-3.54%"
"Feb 03","349.85","368.10","349.85","349.85","-5.06%"
"Jan 03","368.48","346.38","368.48","368.48","6.19%"
"Dec 02","347.00","318.90","347.00","347.00","8.76%"
"Nov 02","319.05","317.75","319.05","319.05","0.39%"
"Oct 02","317.80","323.65","317.80","317.80","-1.84%"
"Sep 02","323.75","312.65","323.75","323.75","3.52%"
"Aug 02","312.75","303.75","312.75","312.75","3.03%"
"Jul 02","303.55","314.00","303.55","303.55","-3.52%"
"Jun 02","314.62","326.68","314.62","314.62","-3.65%"
"May 02","326.55","309.25","326.55","326.55","5.90%"
"Apr 02","308.35","302.25","308.35","308.35","1.87%"
"Mar 02","302.70","296.65","302.70","302.70","1.94%"
"Feb 02","296.95","282.75","296.95","296.95","5.17%"
"Jan 02","282.35","278.85","282.35","282.35","1.22%"
"Dec 01","278.95","274.80","278.95","278.95","1.66%"
"Nov 01","274.40","279.55","274.40","274.40","-1.88%"
"Oct 01","279.65","291.70","279.65","279.65","-4.54%"
"Sep 01","292.95","274.50","292.95","292.95","6.74%"
"Aug 01","274.45","266.55","274.45","274.45","2.85%"
"Jul 01","266.85","270.80","266.85","266.85","-1.48%"
"Jun 01","270.85","265.90","270.85","270.85","1.80%"
"May 01","266.05","263.85","266.05","266.05","0.76%"
"Apr 01","264.05","257.75","264.05","264.05","2.36%"
"Mar 01","257.95","267.15","257.95","257.95","-3.48%"
"Feb 01","267.25","266.15","267.25","267.25","0.53%"
"Jan 01","265.85","272.75","265.85","265.85","-2.40%"
"Dec 00","272.40","270.45","272.40","272.40","0.76%"
"Nov 00","270.35","265.05","270.35","270.35","2.00%"
"Oct 00","265.05","274.25","265.05","265.05","-3.35%"
"Sep 00","274.25","277.80","274.25","274.25","-1.26%"
"Aug 00","277.75","277.45","277.75","277.75","0.18%"
"Jul 00","277.25","289.65","277.25","277.25","-4.43%"
"Jun 00","290.10","272.10","290.10","290.10","6.60%"
